event_id,member_id,event_ts,login_location,device_type,risk_level,trigger_reason,recommended_action
EVT1001,MB001,2026-02-24T11:09:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1002,MB001,2026-02-23T08:31:00,"Toronto, CA",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1005,MB001,2026-02-18T13:50:00,"Toronto, CA",MacBook,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1004,MB001,2026-02-16T18:46:00,"Berlin, DE",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1003,MB001,2026-02-04T10:55:00,"Boston, MA",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1006,MB001,2026-02-02T15:54:00,"Austin, TX",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1012,MB002,2026-02-19T09:38:00,"Boston, MA",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1011,MB002,2026-02-12T14:33:00,"Berlin, DE",Windows PC,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1008,MB002,2026-02-10T08:31:00,"Chicago, IL",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1009,MB002,2026-02-09T00:16:00,"Berlin, DE",Windows PC,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1007,MB002,2026-02-04T00:24:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1010,MB002,2026-02-01T17:42:00,"Chicago, IL",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1013,MB003,2026-02-26T04:04:00,"Chicago, IL",MacBook,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1015,MB003,2026-02-13T12:03:00,"Chicago, IL",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
