campaign_id,campaign_name,objective,primary_channel,launch_date,click_through_rate,customer_acquisition_cost,return_on_ad_spend,spend,target_segment
CAMP100,Momentum Drive,acquisition,email,2026-01-23,0.051,59.5,3.18,20000.0,new_prospects
CAMP101,Momentum Push,retention,app,2025-12-04,0.0665,29.75,3.93,23250.0,active_members
CAMP102,Spring Push,acquisition,web,2026-01-28,0.047,67.5,3.31,22500.0,new_prospects
CAMP103,Peak Wave,retention,app,2025-11-14,0.0695,34.25,3.9,26750.0,active_members
CAMP104,Member Boost,retention,web,2025-11-06,0.047,36.5,3.39,26000.0,active_members
CAMP105,Member Boost,engagement,email,2026-01-17,0.045,58.5,3.1,28750.0,general_audience
CAMP106,Member Drive,engagement,app,2025-12-16,0.0635,52.25,3.38,32000.0,general_audience
CAMP107,Spring Drive,acquisition,web,2025-11-16,0.047,70.5,3.19,31250.0,new_prospects
CAMP108,Momentum Boost,engagement,email,2025-12-17,0.0495,53.25,3.23,34000.0,general_audience
CAMP109,Spring Wave,acquisition,web,2026-01-10,0.05,63.0,3.15,34750.0,new_prospects
CAMP110,Momentum Push,engagement,app,2025-12-10,0.062,53.0,3.46,39000.0,general_audience
CAMP111,Spring Pulse,retention,social,2025-11-08,0.0335,52.25,3.13,38750.0,active_members
CAMP112,New Drive,conversion,social,2025-11-15,0.032,62.0,2.5,40500.0,general_audience
CAMP113,Member Drive,engagement,social,2025-11-23,0.0335,64.25,2.66,42250.0,general_audience
CAMP114,Peak Pulse,acquisition,app,2026-01-31,0.074,54.0,4.06,46000.0,new_prospects
CAMP115,Power Wave,conversion,web,2025-11-23,0.038,68.0,2.66,45250.0,general_audience
CAMP116,Member Push,engagement,email,2025-12-01,0.0465,54.75,3.02,48000.0,general_audience
CAMP117,Spring Pulse,conversion,social,2025-12-13,0.032,65.0,2.74,49250.0,general_audience
