feedback_id,campaign_id,feedback_channel,sentiment,primary_theme,comment_length_words,created_at,member_id
F00001,CAMP108,web,negative,Video quality,32,2026-02-12,MB027
F00002,CAMP117,email,negative,Repetitive messaging,70,2026-02-17,MB047
F00003,CAMP107,app,positive,Community vibe,5,2025-12-20,MB017
F00004,CAMP108,social,negative,Hard to find schedule,61,2025-12-25,MB030
F00005,CAMP112,app,neutral,Video quality,29,2026-02-07,MB018
F00006,CAMP109,web,positive,Community vibe,34,2026-01-15,MB026
F00007,CAMP106,social,neutral,App performance,10,2025-12-10,MB016
F00008,CAMP114,email,negative,Difficulty mismatch,58,2026-01-18,MB027
F00009,CAMP101,app,neutral,Video quality,13,2026-02-27,MB019
F00010,CAMP111,email,negative,Hard to find schedule,76,2026-01-19,MB048
F00011,CAMP114,social,negative,Community vibe,66,2025-12-26,MB038
F00012,CAMP112,social,positive,Motivation & habit,34,2026-02-11,MB004
F00013,CAMP114,email,positive,Community vibe,55,2026-01-31,MB020
F00014,CAMP111,social,negative,Difficulty mismatch,42,2026-02-17,MB029
F00015,CAMP100,social,positive,Hard to find schedule,14,2026-01-04,MB013
F00016,CAMP114,app,negative,App performance,62,2026-02-15,MB045
F00017,CAMP112,email,neutral,Too many notifications,31,2026-01-27,MB001
F00018,CAMP116,web,negative,Too much jargon,74,2026-02-14,MB012
F00019,CAMP115,app,positive,Repetitive messaging,5,2026-01-19,MB024
F00020,CAMP107,app,negative,Not personalized enough,38,2025-12-24,MB027
F00021,CAMP117,email,negative,Unclear value proposition,54,2026-03-01,MB015
F00022,CAMP106,email,negative,Difficulty mismatch,104,2026-02-10,MB017
F00023,CAMP117,web,neutral,Hard to find schedule,38,2026-02-27,MB035
F00024,CAMP112,social,neutral,Not personalized enough,15,2026-02-12,MB040
F00025,CAMP107,app,negative,Video quality,89,2025-12-10,MB004
F00026,CAMP104,web,neutral,Motivation & habit,28,2026-02-27,MB008
F00027,CAMP107,social,negative,Too many notifications,47,2026-01-23,MB044
F00028,CAMP105,app,negative,Too much jargon,81,2026-02-06,MB039
F00029,CAMP114,email,positive,Instructor energy,51,2026-01-09,MB013
F00030,CAMP104,app,positive,Video quality,27,2025-12-29,MB042
F00031,CAMP114,social,positive,Instructor energy,26,2026-02-27,MB050
F00032,CAMP111,email,negative,Pricing confusion,63,2026-01-28,MB024
F00033,CAMP117,email,negative,Repetitive messaging,72,2026-02-08,MB042
F00034,CAMP110,social,negative,App performance,84,2026-01-01,MB019
F00035,CAMP113,email,negative,Repetitive messaging,52,2025-12-29,MB023
F00036,CAMP107,email,neutral,Music selection,6,2026-01-03,MB027
F00037,CAMP111,app,positive,App performance,44,2026-02-19,MB033
F00038,CAMP114,social,positive,Music selection,19,2026-01-23,MB038
F00039,CAMP115,social,positive,Motivation & habit,45,2026-02-03,MB050
F00040,CAMP113,email,neutral,Hard to find schedule,81,2026-01-20,MB003
F00041,CAMP108,email,negative,Repetitive messaging,58,2026-02-28,MB047
F00042,CAMP112,email,negative,Motivation & habit,17,2026-02-20,MB023
F00043,CAMP114,email,neutral,Music selection,35,2026-02-26,MB013
F00044,CAMP112,email,neutral,Instructor energy,18,2026-01-14,MB014
F00045,CAMP117,email,negative,Too many notifications,52,2026-02-02,MB050
F00046,CAMP104,web,neutral,Too much jargon,32,2026-02-25,MB026
F00047,CAMP114,email,negative,Too many notifications,73,2026-01-03,MB018
F00048,CAMP108,social,negative,Pricing confusion,50,2025-11-06,MB049
F00049,CAMP109,social,neutral,Motivation & habit,13,2025-11-29,MB015
F00050,CAMP108,app,neutral,Unclear value proposition,28,2026-02-24,MB026
F00051,CAMP100,email,positive,Difficulty mismatch,51,2026-02-15,MB046
F00052,CAMP111,app,positive,Instructor energy,17,2026-02-12,MB042
F00053,CAMP104,web,positive,Hard to find schedule,31,2026-01-18,MB028
F00054,CAMP113,app,positive,App performance,55,2026-01-16,MB049
F00055,CAMP106,email,negative,App performance,66,2026-02-17,MB031
F00056,CAMP114,web,neutral,Video quality,29,2026-01-16,MB009
F00057,CAMP114,email,neutral,Instructor energy,22,2026-02-11,MB017
F00058,CAMP116,app,neutral,Pricing confusion,28,2026-01-23,MB020
F00059,CAMP112,social,neutral,Pricing confusion,3,2026-02-20,MB006
